Lead Name,Website,Website Available,Phone,Lead Score,Priority,Source,Location,Industry,Recommended Services
"Internships for engineering & Diploma students, BE/Mtech,Internships for ECE,CSE,EEE,ISE in Bangalore",https://www.knowxindia.com/training-internship-engineering-students-bangalore,Yes,+91 98860 94611,59,Low,SerpAPI,"METRO Station, 56,2nd floor, 17th Cross Road, 8th Main Rd, opp. water tank, MC Layout, Vijayanagar, Bengaluru, Karnataka 560040, India",it companies,"AI Chatbot / CRM, CRM / HRM Software, E-Commerce Development"
Databytes Consulting Technologies Pvt Ltd,https://www.databytesconsulting.in/,Yes,+91 90199 36162,48,Low,SerpAPI,"Awfis, Renaissance Centra, 27, Mission Rd, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",it companies,None Identified
Mueen India Private Limited,,No,+91 20 2769 1624,88,High,SerpAPI,"Mueen India Pvt Ltd, UB City, Concorde Tower, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560030, India",it companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM"
Taskmo - Gig Discovery Platform | Redefining Future of Work | Gig Marketplace,https://bit.ly/taskmo_gmb,Yes,+91 84484 49069,71,Medium,SerpAPI,"#33, Mohan chambers, 1st Main Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",it companies,"Website Revamp, Mobile App Development, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, E-Commerce Development"
Vayavya Labs Pvt. Ltd. Bangalore,https://vayavyalabs.com/,Yes,+91 80 4090 1492,54,Low,SerpAPI,"1st Floor B Block, Sree Rama Deevena, 21, Ulsoor Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560008, India",it companies,"Mobile App Development, Cloud Services, E-Commerce Development"
"𝗗𝗶𝗴𝗶𝘁𝗮𝗹𝗶𝗻𝗱𝗶𝗮𝗮𝗱𝗱, 𝗗𝗶𝗴𝗶𝘁𝗮𝗹 𝗠𝗮𝗿𝗸𝗲𝘁𝗶𝗻𝗴 𝗔𝗴𝗲𝗻c𝘆 𝗶𝗻 𝗕𝗮𝗻𝗴𝗮𝗜𝗼𝗿𝗲",https://www.digitalindiaadd.com/,Yes,+91 63608 07351,65,Medium,SerpAPI,"#104/1, 6th Cross, 560029, 2nd Main Rd, Tavarekere, Bengaluru, Karnataka 560029, India",it companies,"AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development"
REDHILL SOFTEC | Internships - Final Year IEEE Projects for BE BTECH BCA MCA Students | Bangalore,https://www.redhillsoftec.com/,Yes,+91 94488 47874,86,High,SerpAPI,"Third Floor, No.20 (Old No.39/4, Service Rd, Remco Layout, Hampi Nagar, RPC Layout, Vijayanagar, Bengaluru, Karnataka 560104, India",it companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development"
Innovkraft Inc | Digital Marketing Company In bangalore,https://innovkraft.com/?utm_source=gmb,Yes,+91 83104 53193,52,Low,SerpAPI,"7th block, 57, 7th Main Road, 100Ft, Ring Road, beside Kotak Mahindra Bank, 4th Phase, Banashankari 3rd Stage, Bengaluru, Karnataka 560085, India",it companies,E-Commerce Development
Uni-Solutions | B2B Lead Generation Company,http://www.leadtomarket.com/,Yes,+91 80 2660 0389,62,Medium,SerpAPI,"60, 2nd Floor, 3rd Main Road, 1st A Cross Rd, near HP Petrol Bunk, Hanumanthnagar, Bengaluru, Karnataka 560050, India",it companies,"Mobile App Development, Cloud Services, Analytics Integration, E-Commerce Development"
GSearrch Website Designers,https://www.gsearchinc.com/webdesign-company-in-bangalore/,Yes,+91 99023 62006,64,Low,SerpAPI,"38/6, Ground Floor 3rd Main Rd, WOC, Rajajinagar, Bengaluru, Karnataka 560010, India",it companies,"Mobile App Development, CRM / HRM Software, Cloud Services"
Leon Technologies Integrations Private Limited (Bangalore),http://leontechnologies.in/,Yes,+91 99081 51111,68,Medium,SerpAPI,"LEON TECHNOLOGIES INTEGRATIONS PRIVATE LIMITED Novel Business Park 57 13th Cross, Baldwins Road, Koramangala, Bengaluru, Karnataka 560027, India",it companies,"Mobile App Development, SSL / Security, Analytics Integration, E-Commerce Development"
S.S.R Solutions,http://www.ssrsolutions.co.in/,Yes,+91 90712 10245,53,Low,SerpAPI,"1st Floor, No.5, Cubbonpet 4th Cross, Cubbonpete, Nagarathpete, Bengaluru, Karnataka 560002, India",it companies,AI Chatbot / CRM
"iTree - Banashankari 3rd Stage , kathriguppe | Apple & Nothing Store.",http://www.itreeonline.com/,Yes,+91 93534 66614,89,High,SerpAPI,"137/138, 2nd Main Road , Water Tank Road,BSK 3rd Stage 3rd Phase, 4th Block, Bengaluru, Karnataka 560085, India",it companies,"Website Revamp, Mobile App Development, Digital Marketing, SSL / Security, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development"
Future Revolution DigiGrowth Private Limited,https://www.furecs.com/,Yes,+91 77605 56363,54,Low,SerpAPI,"2nd floor, club Road, 2084, 1st Main Rd, Hampi Nagar, Vijayanagar, Bengaluru, Karnataka 560104, India",it companies,Mobile App Development
POS Billing Machine Software Bangalore,https://www.posbillingmachinesoftware.com/,Yes,+91 83102 10090,64,Low,SerpAPI,"Door No.5, Ground Floor, Shed, 1, 4th Cross Rd, near Vagmine Enterprises, Cubbonpete, Nagarathpete, Bengaluru, Karnataka 560002, India",it companies,"Mobile App Development, AI Chatbot / CRM, Analytics Integration"
Krishna SEO Expert in Bangalore,https://krishnaseo.com/,Yes,+91 87925 38715,58,Low,SerpAPI,"# 1st Floor, 746, 13th A Cross Road, Nagarbhavi, Bengaluru, Karnataka 560072, India",it companies,"Mobile App Development, AI Chatbot / CRM"
Anandit Infotech (Pc hubshop) - Computer Shop Bangalore,https://www.pchubshop.com/?utm_source=gbp,Yes,+91 99454 04296,50,Low,SerpAPI,"Vivek Complex, 113, Sadar Patrappa Rd, near TOWN HALL, S.P Road Cross, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",it companies,Mobile App Development
Apple Solutions,http://www.applesolutions.in/,Yes,+91 98866 14321,78,High,SerpAPI,"shop no T7, Third Floor, SRNG diamond jubilee complex, no 1091, Old Taluk Cutchery Rd, Halsurpete, Nagarathpete, Bengaluru, Karnataka 560002, India",it companies,"Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development"
AppMomos,https://appmomos.com/,Yes,+91 95351 55944,46,Low,SerpAPI,"Ground Floor, Pavan, 16, 31st Main Rd, behind Devegowda petrol Bunk, 7 Block, Chinnappanaidu Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",it companies,None Identified
Aero Business Solutions,https://www.aerobusinesssolutions.com/,Yes,+91 99166 79810,55,Low,SerpAPI,"1st Floor, Viralam Arcade, 30, 8th F Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011, India",it companies,Mobile App Development
Network People Services Technologies ltd. (NPST) | Bangalore,https://www.npstx.com/,Yes,,63,Low,SerpAPI,"2nd floor, unit 202, HTC Aspire, Network People Services Technologies ltd. (NPST, 19, Ali Asker Rd, Bengaluru, Karnataka 560001, India",it companies,"Mobile App Development, Cloud Services, E-Commerce Development"
HiveMinds Innovative Market Solutions Pvt Ltd,http://hiveminds.in/,Yes,+91 80 4680 1708,53,Low,SerpAPI,"7th Floor, Global Tech Park, 11, O Shaughnessy Rd, Langford Town, Langford Gardens, Bengaluru, Karnataka 560025, India",it companies,"AI Chatbot / CRM, Cloud Services, E-Commerce Development"
SCL Gaming | Computer Shop In Bangalore,https://sclgaming.in/?utm_source=gbp,Yes,+91 88988 91919,46,Low,SerpAPI,"No19 Ground Floor, Gangadhareshwara nilaya, 1st cross Road, Kathriguppe Main Rd, near Banshankari 3rd Stage, 4th Block, Bengaluru, Karnataka 560085, India",it companies,None Identified
Beta Digital Marketing Agency - Bangalore,https://betadigitalmarketing.com/,Yes,+91 95139 99901,56,Low,SerpAPI,"372, 6th Cross Rd, Vinayaka Nagar, NGO Colony, Wilson Garden, Bengaluru, Karnataka 560027, India",it companies,Mobile App Development
Ashtech Infotech (India) Private Limited- Bangalore,http://www.ashinfo.com/,Yes,,10,Low,SerpAPI,"11th Floor, #29, Prestige Meridian 1, Unit No: 1104, Mahatma Gandhi Rd, Ashok Nagar, Bengaluru, Karnataka 560001, India",it companies,"Mobile App Development, E-Commerce Development"
Sakthi Infotech,https://www.sakthiinfotech.com/mlm-software-development-company-website-design-binary-trinary-level-matrix-sunflower-investment-salary-Bangalore-Mysore-Mangalore-Karnataka-India.html,Yes,,71,Medium,SerpAPI,"1st Floor, 18, 10th Cross, Siddaiah Rd, Next to Family Court, Sudhama Nagar, Bengaluru, Karnataka 560027, India",it companies,"Website Revamp, Mobile App Development, AI Chatbot / CRM, Cloud Services"
Computer Mega IT Best Computer Shop in bangalore for Custom PC Build Laptop Workstation CCTV Printer & IT Peripherals Dealers,https://computermegait.in/,Yes,+91 86600 36499,62,Low,SerpAPI,"Ground No. 83/1, Sadar Patrappa Rd, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",it companies,"Mobile App Development, Digital Marketing, Analytics Integration"
SeatonIndia IT Private Limited,,No,+91 80 4123 2000,82,High,SerpAPI,"Mahatma Gandhi Rd, Sivanchetti Gardens Bangalore, Karnataka, India, Lal Masjid Rd, Sulthangunta, Shivaji Nagar, Bengaluru, Karnataka 560051, India",it companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM"
Acetech IT Solutions,http://acetechitsolutions.in/,Yes,+91 89515 60405,68,Medium,SerpAPI,"No 26, Amrutha, 2nd Floor, 1-1, DV Gundappa Rd, Basavanagudi, Bengaluru, Karnataka 560004, India",it companies,"Mobile App Development, Digital Marketing, Cloud Services, Analytics Integration"
arshbangalore || Arsh Group of Companies || Arsh Bangalore,https://www.arshbangalore.com/,Yes,+91 95355 55552,56,Low,SerpAPI,"48, Land mark: Arsh Townships, Arsh Group of Companies, 5th Main Rd, Jayamahal Extension, Jayamahal, Bengaluru, Karnataka 560046, India",it companies,Mobile App Development
iROID Technologies,https://www.iroidtechnologies.com/,Yes,+91 81298 55155,48,Low,SerpAPI,"2nd Floor, Trust building, Kayath Ln, Janatha, Palarivattom, Kochi, Ernakulam, Kerala 682025, India",it companines,AI Chatbot / CRM
Spectrum Softtech Solutions,http://www.spectrum.net.in/,Yes,+91 484 408 2000,50,Low,SerpAPI,"Mahakavi G Rd, Karikkamuri, Ernakulam South, Kochi, Ernakulam, Kerala 682011, India",it companines,Mobile App Development
Smartwebin IT Company,http://www.smartwebin.com/,Yes,+91 94467 17047,56,Low,SerpAPI,"Door 1st, 2nd floor, Pootharayil Building Kaniyampuzha Rd, Eroor, Eroor Rd, P.O, Thrippunithura, Ernakulam, Kerala 682306, India",it companines,"AI Chatbot / CRM, E-Commerce Development"
Seeroo IT Solutions,https://www.seeroo.com/,Yes,+91 484 254 1660,58,Low,SerpAPI,"XIII/330, Santhigiri Campus, Cochin, NAD Rd, HMT Colony, North Kalamassery, HMT Kalamassery, Kochi, Kerala 683503, India",it companines,"Mobile App Development, Digital Marketing, Analytics Integration"
"SAIHA SOFTWARE TECHNOLOGIES PRIVATE LIMITED - BEST SOFTWARE COMPANY IN KOCHI, KERALA",https://saihasoft.com/,Yes,+91 97782 80848,49,Low,SerpAPI,"1st Floor, Samuel Sons Building, Sobha Road, Chakkaraparambu, Palarivattom, Kochi, Ernakulam, Kerala 682028, India",it companines,None Identified
Technovalley Software India Private Limited,https://www.technovalley.org/,Yes,+91 97459 27777,60,Low,SerpAPI,"4th Floor, ATS Grand, opposite Highway Garden, Padivattom, Edappally, Ernakulam, Kerala 682024, India",it companines,"Mobile App Development, CRM / HRM Software, E-Commerce Development"
Exacore IT Solutions Private Limited | Oracle NetSuite Solution Provider | NetSuite Implementation Partner in India,https://www.exacoreitsolutions.com/,Yes,+91 99952 36160,51,Low,SerpAPI,"1B-2, Indeevaram Building, KSITIL SEZ, Koratty Infopark, Kerala 680308, India",it companines,"Cloud Services, E-Commerce Development"
Technopark Trivandrum,http://www.technopark.org/,Yes,+91 471 270 0222,57,Low,SerpAPI,"Park Centre, Technopark Campus, Thiruvananthapuram, Kerala 695581, India",it companines,"AI Chatbot / CRM, Cloud Services, E-Commerce Development"
Milestone Technologies,https://milestone.tech/,Yes,+91 484 424 2800,55,Low,SerpAPI,"SEZ, 3rd Floor, Lulu Cyber Tower 1. Infopark, Kakkanad, Kochi, Kerala 682042, India",it companines,"Mobile App Development, E-Commerce Development"
Fingent Global Solutions,https://www.fingent.com/,Yes,+91 484 405 5006,49,Low,SerpAPI,"Phase I Carnival Infopark Phase II, PO, Phase I, Infopark Campus, Kochi, Kerala 682042, India",it companines,E-Commerce Development
Visanka Technologies Pvt Ltd,https://www.visankatechnologies.com/,Yes,+91 70100 95990,56,Low,SerpAPI,"135A,1st Floor, CRBS Complex, Swamy Naicken St, Chintadripet, Chennai, Tamil Nadu 600002, India",it companies,"AI Chatbot / CRM, E-Commerce Development"
itTrident Software Development and Testing Company - Chennai,https://www.ittrident.com/,Yes,+91 44 3551 1303,73,Medium,SerpAPI,"3rd Floor, Kamak Towers, Lazer St, South Phase, SIDCO Industrial Estate, Guindy, Chennai, Greater Chennai, Tamil Nadu 600032, India",it companies,"Website Revamp, Mobile App Development, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development"
Hourglass IT Solutions,https://www.hourglassit.com/,Yes,+91 86109 00368,50,Low,SerpAPI,"3rd Floor, No.88, Anmol Palani, Gopathy Narayana Rd, T. Nagar, Chennai, Tamil Nadu 600017, India",it companies,Cloud Services
Amitysoft Technologies Private Limited,https://www.amitysoft.com/,Yes,+91 44 2432 8077,56,Low,SerpAPI,"6/22, Second Floor, Dhandapani St, T. Nagar, Chennai, Tamil Nadu 600017, India",it companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development"
Hi-Tech Company Software Solutions (Chennai) Private Limited,http://www.htssindia.in/,Yes,+91 44 2834 4782,62,Medium,SerpAPI,"4, 4th Street, Bharathy Nagar, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017, India",it companies,"Digital Marketing, AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development"
Kerala Realty,http://keralarealty.in/,Yes,+91 77361 00999,63,Low,SerpAPI,"4 th floor, Green Land Heights, KRA Business Centre, Civil Line Rd, Kochi, Kerala 682025, India",real estate companies,"Mobile App Development, Cloud Services, E-Commerce Development"
Jacob Thomas Property Management Consultant,https://jacobthomas.biz/,Yes,+91 94953 00009,62,Low,SerpAPI,"Flat Number:1A6, Holyfaith Four Square Manor, Behind Model Engineering, College,, Thrikkakara, Kakkanad, Kochi, Kerala 682021, India",real estate companies,"Mobile App Development, CRM / HRM Software, Cloud Services"
NR Properties-Real Estate||Real estate Agent ||Kochi||Nedumbassery ||Kerala,,No,+91 80783 34928,91,High,SerpAPI,"Vadakkumchery Building Nedumbassery P.O, Kaprassery, Kerala 683585, India",real estate companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM"
Big Deals,https://bigdeals.pro/,Yes,+91 95679 07999,68,Medium,SerpAPI,"1407 , 4th Floor, HiLITE Business Park, behind Hilite Mall, Palazhi, Kozhikode, Pantheeramkavu, Kerala 673014, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, CRM / HRM Software, Analytics Integration, E-Commerce Development"
Real Estate Kochi,,No,+91 90726 77333,88,High,SerpAPI,"North Park building, St Vincent Rd, North Kaloor, Kacheripady, Ernakulam, Kerala 682018, India",real estate companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM"
Kochi Realtor,https://kochirealtor.in/,Yes,+91 93493 91800,61,Low,SerpAPI,"Ponekkara, Edappally, Ernakulam, Kerala 682024, India",real estate companies,"Mobile App Development, Digital Marketing, Analytics Integration"
KERALAREALESTATE.COM,https://www.keralarealestate.com/,Yes,+91 91340 00111,60,Low,SerpAPI,"38/219 NH, Market Rd, Bypass Junction, Edappally, Kochi, Ernakulam, Kerala 682024, India",real estate companies,"Mobile App Development, CRM / HRM Software, E-Commerce Development"
Realtyfield Advisors Private Limited,https://realtyfield.in/,Yes,+91 97450 60345,56,Low,SerpAPI,"62/5011, Wolfpack, Mahatma Gandhi Rd, Iyyattil Junction, Shenoys, Kochi, Ernakulam, Kerala 682011, India",real estate companies,Mobile App Development
Nimmy David,https://nimmydavid.com/,Yes,+91 98471 80770,63,Low,SerpAPI,,real estate companies,"Mobile App Development, CRM / HRM Software, E-Commerce Development"
HousingSharks.com,http://realtorhadi.com/,Yes,+91 79948 12575,69,Medium,SerpAPI,"2nd floor, Veekay tower, Mavelipuram Rd, Mavelipuram, Thrikkakara, Kakkanad, Kerala 682030, India",real estate companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration"
CeeYen Real Estate Agency,http://ceeyen.com/,Yes,+91 90423 35335,71,Medium,SerpAPI,"476, 2nd Floor, 19th Street, 4th sector, K. K. Nagar, Chennai, Tamil Nadu 600078, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, E-Commerce Development"
Home Konnect,https://www.homekonnect.com/,Yes,+91 99403 66555,69,Medium,SerpAPI,"No. 5B, 5th Floor, Doshi Towers Old No. 156, New No. 205, Poonamallee High Rd, Kilpauk, Chennai, Tamil Nadu 600010, India",real estate companies,"Mobile App Development, Digital Marketing, AI Chatbot / CRM, E-Commerce Development"
PropLeaf Realty Tech Pvt Ltd®️,https://www.propleaf.com/,Yes,,59,Low,SerpAPI,"1st Floor, No:375, Anna Salai, above Canara Bank, Saidapet, Chennai, Greater Chennai, Tamil Nadu 600015, India",real estate companies,"Mobile App Development, E-Commerce Development"
Kavin Real Estate Chennai Private Limited,http://www.kavinrealestate.com/,Yes,+91 98840 88660,61,Low,SerpAPI,"Paruthippattu, Kamaraj Nagar, Avadi, Chennai, Tamil Nadu 600071, India",real estate companies,"Mobile App Development, Cloud Services, E-Commerce Development"
24K Realtors Corporate Office,https://24krealtors.com/,Yes,+91 88380 53254,66,Medium,SerpAPI,"Landmark, No.2,1st Floor, KVIC NAGAR, Velachery Main Rd, next to KTM Showroom, Gowriwakkam, Chennai, Tamil Nadu 600073, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, CRM / HRM Software, E-Commerce Development"
Best Service Realty,https://bestservicerealty.com/,Yes,+91 94442 15263,86,High,SerpAPI,"No:132, 48, Subramania Mudali St, Suriyammapet, Saidapet, Chennai, Greater Chennai, Tamil Nadu 600015, India",real estate companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development"
NVR Real Estate,,No,+91 88707 77774,90,High,SerpAPI,"No:391/b, School Rd, opposite ICICI Bank, D-Sector, Anna Nagar West Extension, Chennai, Greater Chennai, Tamil Nadu 600101, India",real estate companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM"
Namma veedu Housing & Real Estate Company-Estate Agents Chennai,https://www.youtube.com/@NammaVeeduRealEstate,Yes,+91 78456 71995,63,Low,SerpAPI,"Shop No. 183, PANCHAYAT UNION OFFICE, GNT Rd, behind PUZHAL, Kavankarai, Puzhal, Chennai, Greater Chennai, Tamil Nadu 600066, India",real estate companies,"Website Revamp, Analytics Integration, E-Commerce Development"
Hanu Reddy Realty,https://hanureddyrealty.com/,Yes,,84,High,SerpAPI,"18, Bishop Wallers Ave E, CIT Colony, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India",real estate companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development"
RS REALTY,https://rsrealty.net/,Yes,+91 98402 89542,59,Low,SerpAPI,"2nd Floor, 74, Grand Southern Trunk Rd, Sunnambu Colony, Pallavaram, Chennai, Tamil Nadu 600043, India",real estate companies,"Mobile App Development, Cloud Services"
Infosys Limited,http://www.infosys.com/,Yes,+91 471 398 2222,64,Medium,SerpAPI,"Attipara Village Technopark Campus, Plot No. 1, II, Thiruvananthapuram, Kerala 695583, India",it companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration"
Akira Software Solutions Pvt Ltd,http://www.akiraplc.com/,Yes,+91 471 405 9495,61,Low,SerpAPI,"4th Floor, Technopark Trivandrum, Nila Building, Technopark Campus, Karyavattom, Thiruvananthapuram, Kerala 695581, India",it companies,"SSL / Security, AI Chatbot / CRM, E-Commerce Development"
Technopark Trivandrum,http://www.technopark.org/,Yes,+91 471 270 0222,57,Low,SerpAPI,"Park Centre, Technopark Campus, Thiruvananthapuram, Kerala 695581, India",it companies,"AI Chatbot / CRM, Cloud Services, E-Commerce Development"
iAntz IT Solutions,http://www.iantz.in/,Yes,+91 471 252 7999,56,Low,SerpAPI,"3rd Floor, Technopark Campus, Thiruvananthapuram, Kerala 695582, India",it companies,"AI Chatbot / CRM, Cloud Services, E-Commerce Development"
Crayo Tech Business Solution,https://www.crayotech.com/india,Yes,+91 94467 77072,53,Low,SerpAPI,"Technopark Trivandrum, Thejaswini, G3B, Karyavattom, Thiruvananthapuram, Kerala 695581, India",it companies,E-Commerce Development
Innoval Digital Solutions Pvt Ltd,http://www.ivldsp.com/,Yes,+91 471 407 4000,58,Low,SerpAPI,"Technopark, Thejaswini, Level 5, Technopark Rd, Technopark Campus, Kazhakkoottam, Kerala 695581, India",it companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development"
Triomphe IT Solutions Pvt. Ltd.,http://www.triompheit.com/,Yes,+91 81119 53953,67,Medium,SerpAPI,"26C, Anupama Nagar Rd, PO, Muttada, Nalanchira, Paruthippara, Thiruvananthapuram, Kerala 695015, India",it companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration"
Bytelabz Software Solutions Pvt LTD,https://bytelabz.com/,Yes,+91 80 3140 6844,53,Low,SerpAPI,"AKG Road, Thengazhisseril Building, Peroorkada, Thiruvananthapuram, Kerala 695005, India",it companies,AI Chatbot / CRM
Scipy Technologies Pvt Ltd,https://www.scipytechnologies.com/,Yes,+91 73562 38071,14,Low,SerpAPI,"First Floor, Crown Plaza, Kesavadasapuram, 47, National Highway, near St. Mary's School, Pattom, Thiruvananthapuram, Kerala 695004, India",it companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development"
ALRIC INFOTECH PVT LTD,https://www.alricinfotech.com/,Yes,+91 80894 21289,65,Medium,SerpAPI,"3rd Floor, Kairali Complex, GPO Ln, Mele, Thampanoor, Thiruvananthapuram, Kerala 695001, India",it companies,"AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development"
RaeesRoyal Private Limited,http://raeesroyal.com/,Yes,+91 93592 85479,68,Medium,SerpAPI,"Vasantika Apartment, Paud Rd, near Abhyudaya Bank, Sankalp Society, Kothrud, Pune, Maharashtra 411038, India",real estate companies,"Mobile App Development, SSL / Security, AI Chatbot / CRM, E-Commerce Development"
"Dhandeep Developers – Trusted Real Estate Properties & Land Consultancy in Nanded City, Pune",https://dhandeepdevelopers.com/,Yes,+91 92844 49557,59,Low,SerpAPI,"Office No.S34, 2nd Floor, Destination Center 1, 411041, Nanded City Sinhgad Rd, Nanded, Pune, Maharashtra 411068, India",real estate companies,"Mobile App Development, AI Chatbot / CRM"
Metropedia & Co - Best GCC Real Estate - Buy Sell Lease Invest High RoI Pre-lease Pre-leased Commercial Industrial FDI Land,https://www.leasepreleased.com/,Yes,+91 70380 00001,63,Low,SerpAPI,"Shop # 7, Ground Floor, La Ventana, NIBM Rd, Kondhwa, Pune, Maharashtra 411048, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development"
Dealwel Property - Commercial real estate in Pune,https://dealwelproperty.com/,Yes,+91 88886 00050,88,High,SerpAPI,"Office no. 225, 2nd floor, Sterling Centre, MG Road, opp. Punjab National Bank, Camp, Pune, Maharashtra 411001, India",real estate companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development"
96 Realtors,http://96realtors.com/,Yes,+91 77690 46153,68,Medium,SerpAPI,"Shree Shiv Shankar Society, Bibwewadi, Pune, Maharashtra 411037, India",real estate companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration"
ONENESS REALTY PUNE ( Real estate agency),https://www.onenessrealty.co.in/,Yes,+91 70383 98323,66,Medium,SerpAPI,"Shop no 602, Nirvana Complex, opp. to SEASONS MALL, near Amanora Mall, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, Cloud Services, Analytics Integration"
Mantra Properties,https://www.mantraproperties.in/,Yes,+91 20 7196 7641,59,Medium,SerpAPI,"3rd Floor, Bund Garden Rd, next to INOX Bund Garden, Pune, Camp, Pune, Maharashtra 411001, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, Cloud Services, E-Commerce Development"
Kohinoor Group,https://www.kohinoorpune.com/,Yes,+91 20 6724 2200,63,Medium,SerpAPI,"Icc Trade Tower, A -101/102, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, Cloud Services, E-Commerce Development"
Tresco Realty,http://www.trescorealty.in/,Yes,+91 97645 51333,60,Medium,SerpAPI,"Plot No, 305, Serene Bay, 389, Lane No. 6, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, Cloud Services, E-Commerce Development"
Pavillion Homes | Best Trusted Agent Real in Pune | Real estate Agent Aundh Pune,,No,+91 99222 50753,91,High,SerpAPI,"Petrol Pump, below food junction, below Fine Foods, Marutirao Gaikwad Nagar, Aundh, Pune, Maharashtra 411067, India",real estate companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM"
Welkinwits Technologies LLP,https://www.welkinwitstech.com/,Yes,,57,Low,SerpAPI,"3rd floor, Sahya Building, Special Economic Zone Cyber Park, WelkinWits Technologies LLP, Kozhikode, Kerala 673016, India",it companies,"Mobile App Development, Analytics Integration, E-Commerce Development"
Mentegoz Technologies,https://www.mentegoz.com/,Yes,+91 70127 27621,50,Low,SerpAPI,"Meenakshi tower, 3rd floor, Nadakkavu - Mini Bypass Rd, Eranhipaalam, Kozhikode, Kerala 673006, India",it companies,None Identified
Codelattice,https://www.codelattice.com/,Yes,+91 96206 15727,53,Low,SerpAPI,"5th floor, Cafit Square, HiLITE Business Park, Poovangal, Kozhikode, Pantheeramkavu, Kerala 673014, India",it companies,AI Chatbot / CRM
Imagino Solutions Pvt Ltd,https://imaginosolutions.com/,Yes,+91 62822 60127,49,Low,SerpAPI,"NO.1408, 4th Floor, HiLITE Business Park, Poovangal, Kozhikode, Pantheeramkavu, Kerala 673014, India",it companies,None Identified
Lilac Infotech,https://lilacinfotech.com/#utm_source=GMP&utm_medium=organic&utm_campaign=main+Website,Yes,+91 83601 39952,51,Low,SerpAPI,"2nd Floor, Sahya Building Govt. Cyberpark KSITIL Special Economic Zone, Nellikode, Kerala 673016, India",it companies,E-Commerce Development
CodeAce IT Solutions LLP,https://www.codeace.com/,Yes,+91 70344 88488,57,Low,SerpAPI,"Unit No. 4B, Second Floor, Sahya Building Govt. Cyberpark, KSITIL Special Economic Zone, PO, Nellikode, Kozhikode, Kerala 673016, India",it companies,"Mobile App Development, AI Chatbot / CRM"
